ID,Ploidy,Height,n.flowers,n.fruits,Fitness,Init.Day,Peak.Day,End.Day,Tot.Days,Max.n.open.flowers,X_Sp_Ap,X_Sp_Met,X_Sp_Fauc,Y_Sp,X_Lab_Max,X_LobLat,Y_Lab,X_LobMed,Y_LobMed,X_SepSx,Y_SepSx,X_SepDx,Y_SepDx,X_SepCen,Y_SepCen,X_PetSx,Y_PetSx,X_PetDx,Y_PetDx
A38,2n,32,60,7.5,0.125,154,162,168,14,33,0.08,0.08,0.1,0.94,0.59,0.41,0.36,0.17,0.16,0.13,0.25,0.16,0.22,0.17,0.28,0.15,0.35,0.17,0.41
A39,2n,35,60.7,15.7,0.258,147,156,168,21,38,0.03,0.05,0.09,0.92,0.52,0.45,0.35,0.13,0.18,0.12,0.29,0.1,0.25,0.13,0.3,0.16,0.3,0.14,0.29
A40,2n,20,6.2,3.2,0.516,147,159,159,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A41,2n,21,9.2,2,0.217,150,159,162,12,9,0.04,0.07,0.12,1.21,0.47,0.34,0.35,0.13,0.19,0.12,0.35,0.11,0.35,0.11,0.24,0.11,0.34,0.12,0.35
A42,2n,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A43,2n,19,39,0,0,150,159,165,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A44,2n,30,19.3,5.7,0.293,150,156,168,18,20,0.06,0.07,0.09,1.13,0.66,0.49,0.44,0.15,0.21,0.21,0.36,0.14,0.24,0.16,0.25,0.14,0.36,0.15,0.25
A45,2n,32,42.75,10.5,0.246,144,156,159,15,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A46,2n,29,44.25,14.75,0.333,150,159,168,18,17,0.06,0.09,0.12,1.07,0.56,0.47,0.41,0.16,0.17,0.15,0.23,0.18,0.27,0.21,0.29,0.14,0.41,0.22,0.24
A47,2n,38,70,19.5,0.279,144,154,159,15,63,0.06,0.11,0.16,1.42,0.93,0.55,0.61,0.3,0.26,0.23,0.37,0.25,0.39,0.19,0.22,0.22,0.48,0.2,0.53
A48,2n,26,38.5,10.5,0.273,150,159,165,15,23,0.03,0.05,0.1,0.94,0.51,0.37,0.43,0.21,0.18,0.22,0.29,0.18,0.31,0.18,0.31,0.07,0.35,0.17,0.32
A49,2n,33,63,26.3,0.418,144,156,165,21,47,0.07,0.1,0.15,1.12,0.64,0.49,0.46,0.17,0.17,0.12,0.16,0.15,0.2,0.12,0.24,0.1,0.38,0.08,0.41
A50,2n,20,60.75,20.5,0.337,144,154,162,18,45,0.06,0.1,0.12,1.21,0.68,0.59,0.56,0.13,0.3,0.07,0.25,0.05,0.23,0.14,0.34,0.1,0.4,0.15,0.5
